Last Seen,IP Address,MAC Address,Vendor OUI,Hostname,Detected OS,Ingress Bytes,Egress Bytes,Total Traffic Volume,Active Policy Status
2026-08-05 16:43:46,192.168.74.248,8a:61:de:2f:ee:d3,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,3610,3192,6.64 KB,ACTIVE
2026-08-05 16:43:48,192.168.74.244,00:db:df:74:ba:e4,Unknown,Unknown Device,Unknown OS,3438,3066,6.35 KB,ACTIVE
2026-08-06 10:27:17,192.168.74.130,8c:c6:81:d3:f3:6f,Unknown,Unknown Device,Unknown OS,6136,261,6.25 KB,ACTIVE
2026-08-06 14:31:39,192.168.73.223,d2:3c:38:4e:a0:a6,Unknown,HP-PROBOOK,Windows OS,2994,3388,6.23 KB,ACTIVE
2026-08-06 13:28:30,192.168.74.50,5c:c5:d4:93:df:f0,Unknown,Apple Endpoint,macOS / iOS,6270,0,6.12 KB,ACTIVE
2026-08-06 14:31:39,192.168.73.12,f8:e4:e3:e8:54:3b,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,3024,2916,5.80 KB,ACTIVE
2026-08-06 14:31:39,192.168.74.230,9e:2c:a0:0d:8a:8c,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,3025,2813,5.70 KB,ACTIVE
2026-08-06 14:31:39,192.168.74.124,8a:28:d1:42:a5:66,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,2951,2783,5.60 KB,ACTIVE
2026-08-06 14:31:39,192.168.72.138,9c:7b:ef:34:a2:27,Unknown,WORKGROUP,Windows OS,2994,2541,5.41 KB,ACTIVE
2026-08-06 09:38:47,192.168.74.197,38:ba:f8:76:1a:06,Unknown,Unknown Device,Unknown OS,2068,1084,3.08 KB,ACTIVE
2026-08-06 14:29:04,192.168.73.35,78:e3:b5:ba:ba:ba,Unknown,Unknown Device,Unknown OS,1644,1483,3.05 KB,ACTIVE
2026-08-05 16:43:46,192.168.74.9,56:4a:f0:5a:c6:f9,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,1632,1484,3.04 KB,ACTIVE
2026-08-06 10:57:05,192.168.74.251,6e:15:1c:6c:75:3a,Unknown,Unknown Device,Unknown OS,1102,1025,2.08 KB,ACTIVE
2026-08-06 13:28:31,192.168.74.109,66:34:80:34:46:ec,Unknown,Unknown Device,Unknown OS,924,786,1.67 KB,ACTIVE
2026-08-06 14:24:39,192.168.73.65,b4:69:21:a1:01:f8,Unknown,Unknown Device,Unknown OS,0,1346,1.31 KB,ACTIVE
2026-08-05 15:56:59,192.168.74.182,e8:2a:ea:83:6c:ba,Unknown,Unknown Device,Unknown OS,703,196,899.00 B,ACTIVE
2026-08-05 15:57:01,192.168.74.118,b6:08:c4:7e:83:1e,Unknown,Unknown Device,Unknown OS,795,0,795.00 B,ACTIVE
2026-08-05 16:02:52,192.168.72.5,96:22:b4:f0:f4:ae,Unknown,Unknown Device,Unknown OS,0,636,636.00 B,ACTIVE
2026-08-06 10:52:28,192.168.74.236,da:72:e4:71:1e:e5,Unknown,Unknown Device,Unknown OS,0,0,0.00 B,ACTIVE
2026-08-06 10:52:27,192.168.74.212,4c:63:71:8f:8d:12,Unknown,Unknown Device,Unknown OS,0,0,0.00 B,ACTIVE
2026-08-05 15:41:50,192.168.74.15,ca:6e:53:32:47:d5,Unknown,Unknown Device,Unknown OS,0,0,0.00 B,ACTIVE
2026-08-05 15:41:50,192.168.74.48,f0:79:e8:5c:d3:97,Unknown,Unknown Device,Unknown OS,0,0,0.00 B,ACTIVE
2026-08-05 15:41:49,192.168.74.35,ba:90:66:51:a0:5a,Unknown,Unknown Device,Unknown OS,0,0,0.00 B,ACTIVE
